sp_num,sp_name,sp_ori_name,sp_pr_code
196,/2024/05/13/slides_07_01_01.png,slides_07_01_01.png,LSP6222SK
197,/2024/05/13/slides_07_01_02.png,slides_07_01_02.png,LSP6222SK
198,/2024/05/13/slides_07_01_03.png,slides_07_01_03.png,LSP6222SK
199,/2024/05/13/slides_07_02_01.png,slides_07_02_01.png,BLV2AZK
200,/2024/05/13/slides_07_02_02.png,slides_07_02_02.png,BLV2AZK
201,/2024/05/13/slides_07_02_03.png,slides_07_02_03.png,BLV2AZK
202,/2024/05/13/slides_07_03_01.png,slides_07_03_01.png,ST2FABCRK2
203,/2024/05/13/slides_07_03_02.png,slides_07_03_02.png,ST2FABCRK2
204,/2024/05/13/slides_07_03_03.png,slides_07_03_03.png,ST2FABCRK2
205,/2024/05/13/slides_07_04_01.png,slides_07_04_01.png,ST2FABBLK2
206,/2024/05/13/slides_07_04_02.png,slides_07_04_02.png,ST2FABBLK2
207,/2024/05/13/slides_07_04_03.png,slides_07_04_03.png,ST2FABBLK2
208,/2024/05/13/slides_08_01_01.png,slides_08_01_01.png,SO6302TX
209,/2024/05/13/slides_08_01_02.png,slides_08_01_02.png,SO6302TX
210,/2024/05/13/slides_08_01_03.png,slides_08_01_03.png,SO6302TX
211,/2024/05/13/slides_08_02_01.png,slides_08_02_01.png,SO6102TB3
212,/2024/05/13/slides_08_02_02.png,slides_08_02_02.png,SO6102TB3
213,/2024/05/13/slides_08_02_03.png,slides_08_02_03.png,SO6102TB3
214,/2024/05/13/slides_08_03_01.png,slides_08_03_01.png,SO6102TG
215,/2024/05/13/slides_08_03_02.png,slides_08_03_02.png,SO6102TG
216,/2024/05/13/slides_08_03_03.png,slides_08_03_03.png,SO6102TG
217,/2024/05/13/slides_08_04_01.png,slides_08_04_01.png,SOP6902S2PX
218,/2024/05/13/slides_08_04_02.png,slides_08_04_02.png,SOP6902S2PX
219,/2024/05/13/slides_08_04_03.png,slides_08_04_03.png,SOP6902S2PX
220,/2024/05/13/slides_08_05_01.png,slides_08_05_01.png,SOP6902S2PP
221,/2024/05/13/slides_08_05_02.png,slides_08_05_02.png,SOP6902S2PP
222,/2024/05/13/slides_08_05_03.png,slides_08_05_03.png,SOP6902S2PP
223,/2024/05/13/slides_08_06_01.png,slides_08_06_01.png,SOP6902S2PN
224,/2024/05/13/slides_08_06_02.png,slides_08_06_02.png,SOP6902S2PN
225,/2024/05/13/slides_08_06_03.png,slides_08_06_03.png,SOP6902S2PN
226,/2024/05/13/slides_08_07_01.png,slides_08_07_01.png,SFP6604PNRE
227,/2024/05/13/slides_08_07_02.png,slides_08_07_02.png,SFP6604PNRE
228,/2024/05/13/slides_08_07_03.png,slides_08_07_03.png,SFP6604PNRE
229,/2024/05/13/slides_08_08_01.png,slides_08_08_01.png,SFP6604PNXE
230,/2024/05/13/slides_08_08_02.png,slides_08_08_02.png,SFP6604PNXE
